"X","Neighborhood","Neighborhood.Latitude","Neighborhood.Longitude","Venue","Venue.Latitude","Venue.Longitude","Venue.Category"
100,"Bangalore",12.8992322857143,77.7130361428571,"Domino's",12.939016677944,77.6991820804758,"Pizza Place"
101,"Bangalore",12.8992322857143,77.7130361428571,"Big Brewsky",12.9131410656158,77.6832331779203,"Brewery"
102,"Bangalore",12.8992322857143,77.7130361428571,"Domino's Pizza",12.9105824548791,77.6859354972839,"Pizza Place"
103,"Bangalore",12.8992322857143,77.7130361428571,"Pizza Hut",12.91187479326,77.6816542729116,"Pizza Place"
104,"Bangalore",12.8992322857143,77.7130361428571,"Dominos Pizza",12.935486,77.69416,"Pizza Place"
105,"Bangalore",12.8992322857143,77.7130361428571,"Domino's Pizza",12.9260449825085,77.6761074208053,"Pizza Place"
106,"Bangalore",12.8992322857143,77.7130361428571,"Papa John's",12.9393223130268,77.6952412487872,"Pizza Place"
107,"Bangalore",12.8992322857143,77.7130361428571,"Pizza Hut Delivery (PHD)",12.9391042133937,77.6947598534328,"Pizza Place"
108,"Bangalore",12.8992322857143,77.7130361428571,"Domino's Pizza",12.921,77.734,"Pizza Place"
110,"Bangalore",12.9528654285714,77.5084858571429,"Domino's Pizza",12.9288315733019,77.5184350076896,"Pizza Place"
111,"Bangalore",12.9528654285714,77.5084858571429,"Pizza Hut",12.9677921614065,77.5356591221597,"Pizza Place"
112,"Bangalore",12.9528654285714,77.5084858571429,"Domino's Pizza",12.9610449090981,77.5271086321581,"Pizza Place"
113,"Bangalore",12.9528654285714,77.5084858571429,"Pizza Hut",12.928891,77.51845,"Pizza Place"
114,"Bangalore",12.9528654285714,77.5084858571429,"Domino's Pizza",12.988,77.507,"Pizza Place"
115,"Bangalore",12.9528654285714,77.5084858571429,"Pizza Hut",12.9253799918083,77.5172910958585,"Pizza Place"
116,"Bangalore",12.9528654285714,77.5084858571429,"Pizza Corner",12.9723717937343,77.5381747426524,"Pizza Place"
117,"Bangalore",12.9528654285714,77.5084858571429,"Cloud Cafe",12.961044,77.509285,"Café"
118,"Bangalore",12.9528654285714,77.6448527142857,"Little Italy",12.9663972624999,77.6416457698105,"Italian Restaurant"
119,"Bangalore",12.9528654285714,77.6448527142857,"Big Pitcher",12.960101221571,77.6469457937221,"Brewery"
120,"Bangalore",12.9528654285714,77.6448527142857,"Onestà",12.9336106616929,77.6269896290219,"Pizza Place"
121,"Bangalore",12.9528654285714,77.6448527142857,"Onesta",12.9786540930789,77.6435225400917,"Pizza Place"
122,"Bangalore",12.9528654285714,77.6448527142857,"Fenny's Lounge & Kitchen",12.935145679916,77.6135364994441,"Pizza Place"
123,"Bangalore",12.9528654285714,77.6448527142857,"Toit Brewpub",12.9793674193175,77.6407024540956,"Brewery"
124,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9398864213563,77.625375587239,"Pizza Place"
125,"Bangalore",12.9528654285714,77.6448527142857,"Chianti",12.9335371096654,77.6218620764095,"Italian Restaurant"
126,"Bangalore",12.9528654285714,77.6448527142857,"Papa Johns",12.9423963001643,77.6228198602275,"Pizza Place"
127,"Bangalore",12.9528654285714,77.6448527142857,"Serafina Bangalore",12.9328077616765,77.6311862419505,"Italian Restaurant"
128,"Bangalore",12.9528654285714,77.6448527142857,"Glen's Bakehouse",12.9791478202812,77.6406351479099,"Bakery"
129,"Bangalore",12.9528654285714,77.6448527142857,"Onesta",12.912124,77.65174,"Pizza Place"
130,"Bangalore",12.9528654285714,77.6448527142857,"Little Italy",12.9345717928952,77.6092037217196,"Pizza Place"
131,"Bangalore",12.9528654285714,77.6448527142857,"Brik Oven",12.9747567049164,77.6054413107612,"Pizza Place"
132,"Bangalore",12.9528654285714,77.6448527142857,"Northam's Pizza Pita",12.908749,77.646835,"Pizza Place"
133,"Bangalore",12.9528654285714,77.6448527142857,"Via Milano",12.9362489611658,77.6275976383202,"Italian Restaurant"
134,"Bangalore",12.9528654285714,77.6448527142857,"Truffles Ice & Spice",12.933442828976,77.6142645405107,"Burger Joint"
135,"Bangalore",12.9528654285714,77.6448527142857,"Ministry of Food",12.9484749833798,77.645516088427,"Restaurant"
136,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9340800023451,77.6108821541519,"Pizza Place"
137,"Bangalore",12.9528654285714,77.6448527142857,"Chianti Ristorante & Wine Bar",12.9701668166999,77.6403456189779,"Italian Restaurant"
138,"Bangalore",12.9528654285714,77.6448527142857,"Cafe D'hide",12.9335754389452,77.6224418484902,"Café"
139,"Bangalore",12.9528654285714,77.6448527142857,"Prost",12.933222791871,77.6308022348291,"Brewery"
140,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.961,77.639,"Pizza Place"
141,"Bangalore",12.9528654285714,77.6448527142857,"Romano's Pizzeria",12.9362278479182,77.6211015823493,"Pizza Place"
142,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.9492826398293,77.6437546261701,"Pizza Place"
143,"Bangalore",12.9528654285714,77.6448527142857,"Whooppeezz",12.9348335069673,77.6131699713464,"Pizza Place"
144,"Bangalore",12.9528654285714,77.6448527142857,"The Humming Tree - Music Venue and Bar",12.9701245878961,77.639161198021,"Music Venue"
145,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.96,77.656,"Pizza Place"
146,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9783565382077,77.6407167242105,"Pizza Place"
147,"Bangalore",12.9528654285714,77.6448527142857,"Spaghetti Kitchen",12.9645393039561,77.6416571046068,"Italian Restaurant"
148,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9592167189904,77.6541413564541,"Pizza Place"
149,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Stop",12.9314487530138,77.6285052001204,"Pizza Place"
150,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.9690421462426,77.6290767351162,"Pizza Place"
151,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.9202989642402,77.6706553574913,"Pizza Place"
152,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.9129072753769,77.6518087446611,"Pizza Place"
153,"Bangalore",12.9528654285714,77.6448527142857,"The Local - Terrace Drinkery",12.9408298388569,77.6244546198309,"Bar"
154,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.9856790774337,77.6681333388367,"Pizza Place"
155,"Bangalore",12.9528654285714,77.6448527142857,"J's Pastas & Pizzas",12.9558758429872,77.6535481345923,"Pizza Place"
156,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.95585614608,77.6413245796016,"Pizza Place"
157,"Bangalore",12.9528654285714,77.6448527142857,"Domino's Pizza",12.9260449825085,77.6761074208053,"Pizza Place"
158,"Bangalore",12.9528654285714,77.6448527142857,"Pizza Hut",12.915793325012,77.6516018057993,"Pizza Place"
159,"Bangalore",12.9528654285714,77.6448527142857,"Pipabu",12.9361089127986,77.6289093013042,"Pizza Place"
