"name","lat","lon","pop","area","rest_count","pizza_count"
"Singasandra",12.8811660685851,77.6576553298784,21410,9.42,0,0
"Arakere",12.8792199135841,77.602883732267,25003,6.45,10,6
"Uttarahalli",12.9002644029525,77.5370809453946,21845,8.99,1,0
"Yelchenahalli",12.9002286761175,77.5670140722376,28000,1.58,2,1
"Begur",12.8649996624606,77.6220696892561,19287,18.8,2,0
"Gottigere",12.8605912628746,77.5821324498369,21526,6.49,0,0
"Konankunte",12.8857748274409,77.5799014456152,20181,3.42,1,4
"Anjanapura",12.8595876761862,77.5632856881322,21080,11.92,0,0
"Kempegowda Ward",13.116188361395,77.5997134995341,21866,10.47,2,0
"K R Puram",13.0177984033219,77.6984440627829,26485,5.12,4,2
"Jnana Bharathi ward",12.9593058007956,77.5017879872547,25889,12.19,0,2
"Jayanagar East",12.9211063701817,77.5986397560155,30846,1.01,11,0
"Gurappanapalya",12.922866401542,77.6046151492465,35828,0.68,4,0
"Chikkalsandra",12.9216847932897,77.548407399626,24677,1.09,0,0
"Vasanthpura",12.8914219220501,77.556846034107,24522,5.34,0,1
"J P Nagar",12.9108817569626,77.5945067654985,28508,1.79,38,7
"Madivala",12.9200182348871,77.6144183930996,35155,1.16,6,4
"Ramamurthy Nagar",13.033613125226,77.6765386686356,21999,7.87,1,1
"Horamavu",13.0445613371022,77.6532708062347,28167,17.32,9,4
"Marathahalli",12.9507430630886,77.6914952440871,22489,3.1,13,0
"Hemmigepura",12.8919033428845,77.5050129669143,24311,28.59,8,0
