"X","Neighborhood","Neighborhood.Latitude","Neighborhood.Longitude","Venue","Venue.Latitude","Venue.Longitude","Venue.Category"
690,"Bangalore",12.91711,77.5766692857143,"Shanthi Sagar",12.9137063817697,77.5857759213241,"Restaurant"
691,"Bangalore",12.91711,77.5766692857143,"Eatstreet",12.9266228101161,77.5768104237703,"Diner"
692,"Bangalore",12.91711,77.5766692857143,"Cuppa",12.9268016855139,77.5780472793633,"Café"
693,"Bangalore",12.91711,77.5766692857143,"Kabab Palace",12.9135149787868,77.5860725205175,"Indian Restaurant"
694,"Bangalore",12.91711,77.5766692857143,"Patio 805",12.924143,77.583783,"Bistro"
695,"Bangalore",12.91711,77.5766692857143,"Bangalore Vihar Kendra",12.9253020171526,77.570301318413,"Diner"
696,"Bangalore",12.91711,77.5766692857143,"Eden Park Hotels",12.9234425360869,77.5853051941929,"Indian Restaurant"
697,"Bangalore",12.91711,77.5766692857143,"Beach Hut",12.9119536663224,77.5861788483407,"Indian Restaurant"
698,"Bangalore",12.91711,77.5766692857143,"Sukh sagar @ jngr 4 block",12.9262858715894,77.5821998811136,"Indian Restaurant"
699,"Bangalore",12.91711,77.5766692857143,"Renee",12.9278317509473,77.5781312283479,"Restaurant"
700,"Bangalore",12.91711,77.5993970952381,"Kabab Magic",12.9162483464325,77.5968989296639,"Indian Restaurant"
702,"Bangalore",12.91711,77.5993970952381,"Rajdhani",12.9166245020106,77.5922880860795,"Rajasthani Restaurant"
703,"Bangalore",12.91711,77.5993970952381,"SLV Ragigudda",12.9152942407095,77.5950965984342,"Indian Restaurant"
704,"Bangalore",12.91711,77.5993970952381,"McDonald's",12.9167961632327,77.5921167202107,"Fast Food Restaurant"
706,"Bangalore",12.91711,77.5993970952381,"Bhavani Chats N Juice",12.9189158059311,77.5921003322237,"Fast Food Restaurant"
717,"Bangalore",12.91711,77.5993970952381,"Bangalore Central",12.9165866258145,77.5923064652894,"Shopping Mall"
719,"Bangalore",12.91711,77.5993970952381,"Cafe Coffee Day",12.9143261020728,77.5997861182574,"Café"
720,"Bangalore",12.91711,77.5993970952381,"Village",12.916769637042,77.5920826836104,"Indian Restaurant"
724,"Bangalore",12.91711,77.5993970952381,"Flavours of China",12.9137761634759,77.6076622643632,"Chinese Restaurant"
725,"Bangalore",12.91711,77.5993970952381,"Cafe Coffee Day",12.9164134749177,77.5950330865754,"Café"
727,"Bangalore",12.91711,77.5993970952381,"Cafe Coffee Day",12.9166340259961,77.6064856270986,"Café"
728,"Bangalore",12.91711,77.5993970952381,"Taco Bell",12.9142662938024,77.5998058498461,"Fast Food Restaurant"
735,"Bangalore",12.91711,77.5993970952381,"Udupi Gokul Cafe",12.9162892045051,77.6030389361417,"Vegetarian / Vegan Restaurant"
736,"Bangalore",12.91711,77.5993970952381,"Subway, Central Mall Food Court",12.9166172933549,77.5923853284048,"Sandwich Place"
737,"Bangalore",12.91711,77.5993970952381,"Cafe Coffee Day",12.9120623680731,77.6061555102904,"Café"
738,"Bangalore",12.91711,77.5993970952381,"Absolute Barbecues",12.916580723208,77.6048203699041,"BBQ Joint"
741,"Bangalore",12.91711,77.5993970952381,"Punjabi Sanjhaa Chullah",12.9165146672757,77.6053553926602,"Asian Restaurant"
751,"Bangalore",12.91711,77.5993970952381,"Chung's",12.9167977049585,77.598368110222,"Chinese Restaurant"
752,"Bangalore",12.91711,77.5993970952381,"Raghavendra Upahara",12.9169751459069,77.5933037037059,"Indian Restaurant"
753,"Bangalore",12.91711,77.5993970952381,"Brewz Coffee",12.9163299022205,77.6041316152986,"Coffee Shop"
757,"Bangalore",12.91711,77.5993970952381,"The Biryanis",12.9169190713125,77.5968894646888,"Indian Restaurant"
764,"Bangalore",12.91711,77.5993970952381,"Up South",12.9169877952014,77.5934329676674,"Indian Restaurant"
766,"Bangalore",12.91711,77.5993970952381,"Panchami Garden",12.9186915112371,77.6009869949821,"Indian Restaurant"
767,"Bangalore",12.91711,77.5993970952381,"Narmadha's Hyderabad Biriyani",12.9166251455216,77.6062548251555,"Indian Restaurant"
768,"Bangalore",12.91711,77.5993970952381,"Biriyani Mane",12.9168824213735,77.5930848259785,"Indian Restaurant"
769,"Bangalore",12.91711,77.5993970952381,"Linto Coffe",12.916312,77.599428,"Café"
772,"Bangalore",12.91711,77.5993970952381,"Daana Paani",12.9167137517607,77.6066643439415,"Indian Restaurant"
774,"Bangalore",12.91711,77.5993970952381,"Hotel Amaravathi",12.916852,77.5968585,"Indian Restaurant"
775,"Bangalore",12.91711,77.5993970952381,"Faaso's",12.9137087502141,77.6071148411404,"Fast Food Restaurant"
776,"Bangalore",12.91711,77.5993970952381,"Navami",12.918649394492,77.5969454213542,"Indian Restaurant"
777,"Bangalore",12.91711,77.5993970952381,"Kamat Swaad",12.9136986054513,77.5950820494785,"South Indian Restaurant"
778,"Bangalore",12.91711,77.5993970952381,"Hint",12.9167894846382,77.5920968885489,"Nightclub"
779,"Bangalore",12.91711,77.5993970952381,"Hot Burger",12.9174723243531,77.6036432337635,"Food Court"
780,"Bangalore",12.91711,77.5993970952381,"Magix's",12.9166388223491,77.6036600197612,"Indian Restaurant"
781,"Bangalore",12.91711,77.5993970952381,"Top Foam",12.9176546220144,77.6036544244289,"Restaurant"
788,"Bangalore",12.91711,77.5993970952381,"Sanjha Chulla Punjabi Dhaba",12.9168352552927,77.6048518192126,"Indian Restaurant"
791,"Bangalore",12.91711,77.5993970952381,"Al Bilal Ramadan Food And Shopping Mela",12.9226274374473,77.6001349054224,"Food Court"
792,"Bangalore",12.91711,77.5993970952381,"Prasidhi Fast Food",12.9183378181786,77.5932298385466,"Indian Restaurant"
793,"Bangalore",12.91711,77.5993970952381,"mousambi thela",12.914130806346,77.6051427730344,"Food Truck"
794,"Bangalore",12.91711,77.5993970952381,"The Barbeques",12.915873922357,77.6059596778287,"Middle Eastern Restaurant"
795,"Bangalore",12.91711,77.5993970952381,"Jasbir singh da Dhaba",12.9234588306716,77.600907082747,"Asian Restaurant"
796,"Bangalore",12.91711,77.5993970952381,"Apna Punjab",12.9146683867081,77.6056398343423,"Indian Restaurant"
797,"Bangalore",12.91711,77.5993970952381,"Spice KING",12.91654321,77.60616678,"Diner"
798,"Bangalore",12.91711,77.5993970952381,"Upahara Darshini, Jayanagar 9th Block",12.916732591947,77.5926042166796,"South Indian Restaurant"
799,"Bangalore",12.91711,77.5993970952381,"Gugababa",12.914130806346,77.6054784880498,"Diner"
800,"Bangalore",12.91711,77.6221249047619,"Cafe Coffee Day",12.9166587167567,77.620248958712,"Café"
808,"Bangalore",12.91711,77.6221249047619,"Sanjeevanam",12.9254579246712,77.619413942688,"Indian Restaurant"
811,"Bangalore",12.91711,77.6221249047619,"Ambur Star Biryani",12.9165937757323,77.6203223865893,"Indian Restaurant"
815,"Bangalore",12.91711,77.6221249047619,"Seashell",12.9267762615975,77.6162114237389,"Indian Restaurant"
824,"Bangalore",12.91711,77.6221249047619,"Oottupura",12.9267134066427,77.6158223101504,"Kerala Restaurant"
