"Month","Close","Open","High","Low"
"7-May",4109.65,3937.94,4335.96,3845.23
"7-Jun",3820.7,4120.63,4312,3404.15
"7-Jul",4471.03,3800.23,4476.63,3563.54
"7-Aug",5218.82,4488.77,5235.16,4284.87
"7-Sep",5552.3,5257.78,5560.42,5025.34
"7-Oct",5954.77,5683.31,6124.04,5462.01
"7-Nov",4871.78,5978.94,6005.13,4778.73
"7-Dec",5261.56,4838.56,5336.5,4798.01
"8-Jan",4383.39,5265,5522.78,4330.7
"8-Feb",4348.54,4388.25,4695.8,4123.31
"8-Mar",3472.71,4323.7,4472.15,3357.23
"8-Apr",3693.11,3461.09,3705.09,2990.79
"8-May",3433.35,3739.8,3786.02,3333.95
"8-Jun",2736.1,3426.2,3483.61,2693.4
"8-Jul",2775.72,2743.16,2952.04,2566.53
"8-Aug",2397.37,2751.02,2830.76,2284.59
"8-Sep",2293.78,2380.47,2380.47,1802.33
